条目编号,片段编号,音频文件,整段自然度MOS(1-5),接缝可察觉(无/有但不影响/明显影响),备注
repair_confirm_question,c1,~/vox-naturalness/listen/repair_confirm_question-c1.wav,,,
repair_confirm_question,c2,~/vox-naturalness/listen/repair_confirm_question-c2.wav,,,
repair_confirm_question,c3,~/vox-naturalness/listen/repair_confirm_question-c3.wav,,,
clarify_repair,c1,~/vox-naturalness/listen/clarify_repair-c1.wav,,,
clarify_repair,c2,~/vox-naturalness/listen/clarify_repair-c2.wav,,,
clarify_repair,c3,~/vox-naturalness/listen/clarify_repair-c3.wav,,,
clarify_work_order,c1,~/vox-naturalness/listen/clarify_work_order-c1.wav,,,
clarify_work_order,c2,~/vox-naturalness/listen/clarify_work_order-c2.wav,,,
clarify_work_order,c3,~/vox-naturalness/listen/clarify_work_order-c3.wav,,,
repair_ask_natural_address,c1,~/vox-naturalness/listen/repair_ask_natural_address-c1.wav,,,
repair_ask_natural_address,c2,~/vox-naturalness/listen/repair_ask_natural_address-c2.wav,,,
repair_ask_natural_address,c3,~/vox-naturalness/listen/repair_ask_natural_address-c3.wav,,,
repair_ask_userNo+repair_ask_address,c1,~/vox-naturalness/listen/repair_ask_userNo+repair_ask_address-c1.wav,,,
repair_ask_userNo+repair_ask_address,c2,~/vox-naturalness/listen/repair_ask_userNo+repair_ask_address-c2.wav,,,
repair_ask_userNo+repair_ask_address,c3,~/vox-naturalness/listen/repair_ask_userNo+repair_ask_address-c3.wav,,,
repair_ask_natural_userNo,c1,~/vox-naturalness/listen/repair_ask_natural_userNo-c1.wav,,,
repair_ask_natural_userNo,c2,~/vox-naturalness/listen/repair_ask_natural_userNo-c2.wav,,,
repair_ask_natural_userNo,c3,~/vox-naturalness/listen/repair_ask_natural_userNo-c3.wav,,,
chat_smalltalk,c1,~/vox-naturalness/listen/chat_smalltalk-c1.wav,,,
chat_smalltalk,c2,~/vox-naturalness/listen/chat_smalltalk-c2.wav,,,
chat_smalltalk,c3,~/vox-naturalness/listen/chat_smalltalk-c3.wav,,,
transfer_ready+transfer_queued,c1,~/vox-naturalness/listen/transfer_ready+transfer_queued-c1.wav,,,
transfer_ready+transfer_queued,c2,~/vox-naturalness/listen/transfer_ready+transfer_queued-c2.wav,,,
transfer_ready+transfer_queued,c3,~/vox-naturalness/listen/transfer_ready+transfer_queued-c3.wav,,,
internal_chat_hint,c1,~/vox-naturalness/listen/internal_chat_hint-c1.wav,,,
internal_chat_hint,c2,~/vox-naturalness/listen/internal_chat_hint-c2.wav,,,
internal_chat_hint,c3,~/vox-naturalness/listen/internal_chat_hint-c3.wav,,,
opening,c1,~/vox-naturalness/listen/opening-c1.wav,,,
opening,c2,~/vox-naturalness/listen/opening-c2.wav,,,
opening,c3,~/vox-naturalness/listen/opening-c3.wav,,,
realtime_ask+realtime_empty,c1,~/vox-naturalness/listen/realtime_ask+realtime_empty-c1.wav,,,
realtime_ask+realtime_empty,c2,~/vox-naturalness/listen/realtime_ask+realtime_empty-c2.wav,,,
realtime_ask+realtime_empty,c3,~/vox-naturalness/listen/realtime_ask+realtime_empty-c3.wav,,,
stop_warm_plan,c1,~/vox-naturalness/listen/stop_warm_plan-c1.wav,,,
stop_warm_plan,c2,~/vox-naturalness/listen/stop_warm_plan-c2.wav,,,
stop_warm_plan,c3,~/vox-naturalness/listen/stop_warm_plan-c3.wav,,,
fallback_internal,c1,~/vox-naturalness/listen/fallback_internal-c1.wav,,,
fallback_internal,c2,~/vox-naturalness/listen/fallback_internal-c2.wav,,,
fallback_internal,c3,~/vox-naturalness/listen/fallback_internal-c3.wav,,,
pay_ask_user_no+pay_due_hint,c1,~/vox-naturalness/listen/pay_ask_user_no+pay_due_hint-c1.wav,,,
pay_ask_user_no+pay_due_hint,c2,~/vox-naturalness/listen/pay_ask_user_no+pay_due_hint-c2.wav,,,
pay_ask_user_no+pay_due_hint,c3,~/vox-naturalness/listen/pay_ask_user_no+pay_due_hint-c3.wav,,,
lifeboat_fallback,c1,~/vox-naturalness/listen/lifeboat_fallback-c1.wav,,,
lifeboat_fallback,c2,~/vox-naturalness/listen/lifeboat_fallback-c2.wav,,,
lifeboat_fallback,c3,~/vox-naturalness/listen/lifeboat_fallback-c3.wav,,,
work_order_hint+work_order_ask,c1,~/vox-naturalness/listen/work_order_hint+work_order_ask-c1.wav,,,
work_order_hint+work_order_ask,c2,~/vox-naturalness/listen/work_order_hint+work_order_ask-c2.wav,,,
work_order_hint+work_order_ask,c3,~/vox-naturalness/listen/work_order_hint+work_order_ask-c3.wav,,,
work_order_no_unknown,c1,~/vox-naturalness/listen/work_order_no_unknown-c1.wav,,,
work_order_no_unknown,c2,~/vox-naturalness/listen/work_order_no_unknown-c2.wav,,,
work_order_no_unknown,c3,~/vox-naturalness/listen/work_order_no_unknown-c3.wav,,,
user_no_unknown,c1,~/vox-naturalness/listen/user_no_unknown-c1.wav,,,
user_no_unknown,c2,~/vox-naturalness/listen/user_no_unknown-c2.wav,,,
user_no_unknown,c3,~/vox-naturalness/listen/user_no_unknown-c3.wav,,,
inject_refuse,c1,~/vox-naturalness/listen/inject_refuse-c1.wav,,,
inject_refuse,c2,~/vox-naturalness/listen/inject_refuse-c2.wav,,,
inject_refuse,c3,~/vox-naturalness/listen/inject_refuse-c3.wav,,,
off_hours_repair+off_hours_urgent,c1,~/vox-naturalness/listen/off_hours_repair+off_hours_urgent-c1.wav,,,
off_hours_repair+off_hours_urgent,c2,~/vox-naturalness/listen/off_hours_repair+off_hours_urgent-c2.wav,,,
